serie_bac,note_maths,note_physique,niveau_prog,appetence_comm,parcours_cible
Litteraire,9.459618845794786,13.132879904610474,3,3,Réseaux & Systèmes
OSE,7.455458325942406,12.33278993445812,4,1,Génie Logiciel
S,10.660455143798936,9.91710150254276,2,3,Génie Logiciel
Litteraire,14.569196382970418,14.477989410092745,5,5,Intelligence Artificielle
Litteraire,12.642281232390612,7.7568100172003085,1,4,Management / SI
OSE,8.262783663864036,12.84780682083279,2,2,Génie Logiciel
S,12.519542777553546,12.779303773905152,5,5,Intelligence Artificielle
S,13.15595213918651,10.07136068205803,2,4,Management / SI
Litteraire,9.348427691396601,11.978399066726354,4,3,Génie Logiciel
Technique,12.461175317836584,7.246659270844091,4,5,Intelligence Artificielle
Litteraire,12.174626155338,13.772081057620703,4,4,Intelligence Artificielle
Litteraire,8.571089106508131,10.445293590671033,1,1,Génie Logiciel
Litteraire,13.07336208104485,9.431830938442882,4,1,Intelligence Artificielle
Litteraire,13.682353579104703,14.147027677510668,5,2,Intelligence Artificielle
OSE,15.249153729525831,8.886968928371722,2,4,Management / SI
S,15.161406156104709,6.774616110909321,3,1,Génie Logiciel
OSE,7.866991896128727,6.330112479428289,5,3,Génie Logiciel
OSE,9.186524880254632,12.818029854036919,5,4,Management / SI
OSE,13.54510580162598,7.15871194251115,4,3,Intelligence Artificielle
Litteraire,13.541357852736626,16.264382545953094,1,3,Réseaux & Systèmes
Technique,13.545143058918143,4.754211776348834,2,1,Génie Logiciel
S,20.0,16.089369104870116,1,4,Réseaux & Systèmes
Technique,13.7126715320795,11.633052401607856,2,5,Management / SI
OSE,15.406696920541798,10.709860664388822,2,1,Génie Logiciel
OSE,14.862005290479607,9.365242739573151,1,1,Génie Logiciel
Technique,13.954173753917393,12.197408343056212,5,4,Intelligence Artificielle
Technique,11.054192266078964,10.887095892725455,2,4,Management / SI
Technique,14.276907661479802,14.309905646049565,1,3,Réseaux & Systèmes
OSE,9.681524356387285,11.34268294598612,2,4,Management / SI
OSE,11.289544179779973,11.450905284385632,3,3,Génie Logiciel
S,10.543909356512689,9.909163363358433,5,1,Génie Logiciel
S,12.245622418158968,10.829163128836798,4,2,Intelligence Artificielle
OSE,18.943975700020527,11.923405306676177,2,5,Management / SI
Technique,6.398204422224756,5.8694948220301235,3,1,Génie Logiciel
Technique,14.05878057112354,6.955443733682861,4,4,Intelligence Artificielle
S,7.161852386431045,13.229792282068145,4,5,Management / SI
OSE,10.5842044026317,11.512596314383826,2,2,Génie Logiciel
S,15.266851790902098,10.448049990941962,1,2,Génie Logiciel
S,12.192840057286388,11.05530179919618,2,3,Génie Logiciel
Litteraire,8.76676566621208,12.042745116085014,3,5,Management / SI
Litteraire,9.854088872220096,9.380720959071915,4,3,Génie Logiciel
Litteraire,14.038793246804028,8.665085823793062,2,1,Génie Logiciel
Technique,9.80890010484859,11.587535765293044,1,5,Management / SI
OSE,12.649375768745925,8.064881667154904,2,1,Génie Logiciel
OSE,12.13671551971144,12.224758267143415,5,3,Intelligence Artificielle
OSE,10.04519895718255,5.892249187286479,1,5,Management / SI
OSE,18.431832267975977,14.08746691197693,3,3,Réseaux & Systèmes
Litteraire,13.901757066954033,12.41779244723913,4,5,Intelligence Artificielle
Technique,5.924572240027178,11.768089202941628,2,3,Génie Logiciel
Technique,12.559362944308283,13.948072951836542,1,2,Réseaux & Systèmes
Litteraire,10.014640605694836,15.99642333338773,5,3,Génie Logiciel
Technique,14.557300004388672,14.04311019505439,1,2,Réseaux & Systèmes
Litteraire,9.622437784701898,5.477377306005064,5,3,Génie Logiciel
OSE,11.655790675599302,7.161269099792896,3,5,Management / SI
Litteraire,13.51496183694137,9.125544266912964,4,5,Intelligence Artificielle
OSE,14.597265582510364,11.078273150632501,3,5,Management / SI
OSE,8.399110778832672,12.552977061407368,2,4,Management / SI
S,10.996496292477154,8.822768560539604,1,1,Génie Logiciel
Litteraire,10.575164066517132,11.560300293431235,5,5,Management / SI
S,10.040012302278864,8.733851202940032,5,2,Génie Logiciel
Litteraire,17.29636272084329,9.165446591024155,1,5,Management / SI
Litteraire,13.214945132882868,6.780016709455333,1,4,Management / SI
S,8.217348136994865,8.230300261667287,2,2,Génie Logiciel
S,14.753585841164329,6.944946183150999,3,4,Management / SI
Litteraire,18.3664685910379,8.072380241068002,5,2,Intelligence Artificielle
Technique,15.09739578165344,14.160925389823518,2,3,Réseaux & Systèmes
OSE,7.441890102137959,8.151803333504171,3,1,Génie Logiciel
S,10.547297781401246,18.897146194512175,2,1,Réseaux & Systèmes
OSE,15.800733447559868,12.479953702642668,5,4,Intelligence Artificielle
Technique,9.876991603143658,11.554508371084621,1,1,Génie Logiciel
Technique,13.331458284438686,8.424926659456359,1,4,Management / SI
Technique,14.32390216028801,13.100929638226974,3,4,Réseaux & Systèmes
S,9.21920858526575,9.273086521286679,4,4,Management / SI
Technique,11.8214239318146,11.366029443936084,3,1,Génie Logiciel
S,2.276197979792782,18.680253614806382,4,4,Management / SI
Technique,8.926837075997131,10.71182030082605,2,1,Génie Logiciel
OSE,11.24229554582052,14.447819978857027,2,4,Réseaux & Systèmes
OSE,8.25665045410545,8.890470724622338,5,5,Management / SI
Litteraire,16.897233911794906,10.895034528509115,4,4,Intelligence Artificielle
OSE,7.709575866118102,16.31240190690653,5,2,Génie Logiciel
Litteraire,10.67986653990905,9.119098826636698,1,4,Management / SI
OSE,12.392221731858275,16.437345673990787,4,3,Intelligence Artificielle
S,16.323819867198345,13.123255806366426,3,4,Réseaux & Systèmes
OSE,7.692413546461681,9.312599672317198,1,2,Génie Logiciel
Litteraire,15.489491256464879,12.897223217166562,1,2,Génie Logiciel
Litteraire,12.030699183058761,13.91766334888019,3,1,Réseaux & Systèmes
Technique,9.055474046856148,12.86542988665159,1,5,Management / SI
S,13.386310422789812,6.2893258403286305,4,4,Intelligence Artificielle
OSE,12.59717908672041,8.818588472525395,5,1,Intelligence Artificielle
Technique,10.199349368523617,10.257444093345486,1,5,Management / SI
OSE,12.209406254970057,10.77669971269986,4,4,Intelligence Artificielle
OSE,10.84405920941472,12.862016292652033,2,3,Génie Logiciel
Technique,12.340552035753744,11.533103002799761,4,4,Intelligence Artificielle
Technique,13.98639202356314,6.993966923869696,5,2,Intelligence Artificielle
Technique,16.758050448436055,12.14059355301789,4,2,Intelligence Artificielle
Technique,8.286553503519453,12.83175723585147,3,3,Génie Logiciel
Technique,18.3991001239688,12.67937134379312,5,1,Intelligence Artificielle
OSE,6.143736601432495,14.242342176663865,2,5,Réseaux & Systèmes
Technique,11.54464471489325,13.501766463646712,3,4,Réseaux & Systèmes
S,13.76495161945373,12.37754023768531,4,2,Intelligence Artificielle
Litteraire,12.842975603205097,10.789502865624058,5,1,Intelligence Artificielle
Technique,10.131901440538218,6.017117199452025,2,3,Génie Logiciel
Technique,11.375633248928175,12.288854657397758,3,2,Génie Logiciel
OSE,10.520997196023501,11.623063061489333,2,3,Génie Logiciel
Technique,10.231905729167366,11.814736511586121,4,4,Management / SI
Technique,14.548806291063073,7.1697542725390715,2,5,Management / SI
Technique,13.071046457895141,7.756830378775213,1,2,Génie Logiciel
OSE,9.921271214218038,14.159458559998711,3,2,Réseaux & Systèmes
Technique,14.698799626299753,10.881334538430036,2,4,Management / SI
Litteraire,12.921898562629828,13.044502092117874,4,1,Intelligence Artificielle
OSE,14.43858635651688,11.084955128391384,4,5,Intelligence Artificielle
Litteraire,13.888886525770836,11.089268418487235,2,2,Génie Logiciel
OSE,9.513014967233783,13.814851417927994,4,5,Management / SI
Technique,10.319456879409092,9.451865815347878,5,2,Génie Logiciel
Litteraire,14.241880815369786,11.28836233082295,5,5,Intelligence Artificielle
OSE,13.831110796300395,9.613174133884872,5,3,Intelligence Artificielle
S,11.937295218107556,9.696511317703052,1,2,Génie Logiciel
Technique,12.351982149926346,10.072483629594082,2,5,Management / SI
OSE,15.832994687365275,11.666401314901139,1,1,Génie Logiciel
S,10.22528583349251,9.563754135009567,4,3,Génie Logiciel
OSE,13.641292143510114,14.767268376720562,1,3,Réseaux & Systèmes
S,11.393422042698317,8.316178093341488,4,1,Génie Logiciel
Technique,11.34695639031834,10.439385067515923,4,5,Management / SI
Litteraire,15.296330555961571,9.680806825177475,3,4,Management / SI
S,14.476249046964089,15.3409336530612,5,1,Intelligence Artificielle
OSE,14.440528908001916,11.589664329534724,4,5,Intelligence Artificielle
Technique,15.916436421462986,14.095533618405906,3,1,Réseaux & Systèmes
S,12.063011524898277,6.543318880889084,5,1,Intelligence Artificielle
OSE,14.045858913884892,11.801150797607777,4,2,Intelligence Artificielle
OSE,11.069199730219632,13.668892386870311,4,5,Management / SI
OSE,12.972499057465326,11.246851967826272,1,4,Management / SI
S,11.609570836896946,14.196441125196053,1,2,Réseaux & Systèmes
S,12.290987894978155,9.448134649698883,5,1,Intelligence Artificielle
S,13.78547107631074,15.228042320556739,4,1,Intelligence Artificielle
Litteraire,9.545337950299583,17.89669437085775,2,1,Réseaux & Systèmes
S,18.277161827056382,9.911484318681023,1,5,Management / SI
S,8.981947855500895,9.663492435797684,5,5,Management / SI
S,8.357434161636803,15.360153431353103,4,2,Génie Logiciel
Litteraire,15.474332620500203,15.738716437192137,4,4,Intelligence Artificielle
S,14.374988081888809,9.431419918540195,2,2,Génie Logiciel
OSE,13.872359451156466,9.73943954871243,5,3,Intelligence Artificielle
S,13.88503652779284,10.154646173418477,4,1,Intelligence Artificielle
OSE,11.963259681459256,6.966648466897169,1,1,Génie Logiciel
OSE,9.308236885542506,8.244044160547405,2,1,Génie Logiciel
OSE,12.227413674581179,7.987577699743796,5,2,Intelligence Artificielle
Litteraire,9.968514865463664,8.696607304687614,2,2,Génie Logiciel
Litteraire,14.925359200253254,10.895945337839656,1,1,Génie Logiciel
Litteraire,11.558827855493584,11.702644197609562,5,2,Génie Logiciel
S,9.523508409622465,15.651501478442231,2,5,Réseaux & Systèmes
OSE,11.03584247504102,8.004937877783627,3,5,Management / SI
Litteraire,13.238794362826873,13.952967195429752,1,2,Réseaux & Systèmes
Litteraire,10.308826341588077,10.358033467323473,1,1,Génie Logiciel
S,9.533338813300706,10.851608871042702,1,2,Génie Logiciel
Litteraire,12.731061634475736,13.024458476499811,3,2,Réseaux & Systèmes
S,12.734899713326168,7.631833935313104,3,2,Génie Logiciel
Technique,10.479170473886612,12.147229238552152,4,3,Génie Logiciel
Litteraire,10.586885083145031,11.499356624639168,2,5,Management / SI
Technique,12.696149812072909,12.477353792024447,4,4,Intelligence Artificielle
S,7.655746975508028,11.867505931723453,2,4,Management / SI
OSE,7.777608676870335,18.365900419732682,3,3,Réseaux & Systèmes
Litteraire,9.844667336242692,9.086780047246052,3,2,Génie Logiciel
S,11.359658544864459,9.407009134994547,4,3,Génie Logiciel
OSE,12.932722696794015,9.130578420725707,5,3,Intelligence Artificielle
OSE,16.426068650848656,9.333568642519236,4,1,Intelligence Artificielle
Technique,14.572978869606057,9.087838618080447,2,5,Management / SI
S,11.520184410109719,14.567049593322656,4,4,Management / SI
OSE,11.942951376291933,15.261512743969565,1,2,Réseaux & Systèmes
Litteraire,8.992411906086573,9.287761118751572,2,4,Management / SI
Litteraire,11.94446059202283,8.502933280687314,2,4,Management / SI
Technique,11.134024083239584,12.414246669159212,5,5,Management / SI
OSE,12.968155681014268,9.343330867157086,3,4,Management / SI
S,9.518307169343032,12.898795453266532,2,4,Management / SI
Litteraire,13.558039542723517,11.608769062553899,3,3,Génie Logiciel
OSE,16.598216739007732,6.452767655008304,4,5,Intelligence Artificielle
OSE,11.673719554629427,15.642515603990185,1,1,Réseaux & Systèmes
Technique,13.205135166296824,16.387633019286564,5,2,Intelligence Artificielle
Litteraire,14.070431975133339,9.161633928546841,3,4,Management / SI
Litteraire,10.796338584342491,9.836895320192047,2,2,Génie Logiciel
S,12.67227744543125,11.857596172174715,3,1,Génie Logiciel
Litteraire,12.037777202345385,12.003370369961075,2,2,Génie Logiciel
S,12.293028295646495,12.975632818018491,3,1,Génie Logiciel
Litteraire,9.6809706484336,17.03061361629905,2,3,Réseaux & Systèmes
Technique,12.073530522776828,10.469158317517852,4,4,Intelligence Artificielle
Litteraire,13.49399487373635,8.605108266384638,2,1,Génie Logiciel
S,16.353430823385125,6.862042315956418,2,2,Génie Logiciel
S,14.87781247825562,8.807209880174243,1,4,Management / SI
Technique,18.45954737253467,10.90061908137861,2,3,Génie Logiciel
Litteraire,9.697957311335852,16.383673590553364,1,4,Réseaux & Systèmes
Litteraire,14.616961910162034,9.447166102891487,5,1,Intelligence Artificielle
Technique,12.550026017215055,11.671363854916695,1,3,Génie Logiciel
Litteraire,18.56940879965302,10.950731311781745,4,2,Intelligence Artificielle
Litteraire,9.575105143934547,14.565179820344252,1,3,Réseaux & Systèmes
S,9.480834473457673,18.580797277620867,5,3,Génie Logiciel
Litteraire,10.201822063667933,9.407393681239038,4,5,Management / SI
Litteraire,5.628312827070579,9.531681672445334,3,3,Génie Logiciel
Technique,10.422734934957717,14.132482631207216,3,3,Réseaux & Systèmes
Technique,9.722602015338907,13.045674468878934,1,4,Réseaux & Systèmes
OSE,12.451181359428624,16.540121977208102,1,2,Réseaux & Systèmes
S,13.025267927331479,12.751784555977892,5,4,Intelligence Artificielle
Litteraire,17.628512517647657,9.922123727638821,5,4,Intelligence Artificielle
Litteraire,14.851271514558151,12.771964492076927,2,1,Génie Logiciel
OSE,10.269289033012791,14.326110741748723,5,4,Management / SI
Litteraire,9.304755985954927,13.461446543592093,2,5,Réseaux & Systèmes
S,13.475757514519517,12.521822093321893,4,5,Intelligence Artificielle
OSE,8.039300378938073,14.200024068767462,1,1,Réseaux & Systèmes
S,17.49437629756306,14.507886771337018,4,2,Intelligence Artificielle
OSE,15.538320362163862,15.14647697311258,5,2,Intelligence Artificielle
OSE,10.592473043685885,12.946129662768929,4,4,Management / SI
Technique,6.860596412727368,10.498645759049436,4,4,Management / SI
S,16.061617122496237,11.440141059299968,4,4,Intelligence Artificielle
Litteraire,11.656380464242146,14.61952689952507,5,2,Génie Logiciel
Litteraire,15.713448935920386,8.549192987038293,4,3,Intelligence Artificielle
S,7.216717023616899,12.106019926618703,2,5,Management / SI
Litteraire,10.201874931138681,9.819983563017917,5,3,Génie Logiciel
Litteraire,12.01573109915455,11.086234468804452,4,3,Intelligence Artificielle
S,12.140941781294226,14.835355587821896,5,2,Intelligence Artificielle
OSE,10.64980358556227,11.57329720405971,3,3,Génie Logiciel
S,13.868549797042496,11.139309644468446,2,1,Génie Logiciel
OSE,8.797138711852217,6.920431577060242,4,4,Management / SI
Litteraire,11.572861544936119,13.238760698081663,3,1,Réseaux & Systèmes
Litteraire,12.360886895135696,12.936452543423226,3,5,Management / SI
Litteraire,13.543316502176246,17.48976416991638,5,4,Intelligence Artificielle
Technique,14.13484463426667,10.076665295140998,3,3,Génie Logiciel
OSE,8.626073724486393,11.657450982991817,2,5,Management / SI
Technique,7.397657487793133,11.748151051132266,2,4,Management / SI
Technique,15.833030465695527,15.732359839290423,1,3,Réseaux & Systèmes
S,12.996942035938774,10.714113402839144,2,1,Génie Logiciel
Technique,9.75454039033034,11.837064577311018,3,4,Management / SI
S,16.653455926567567,12.823689529149618,2,3,Génie Logiciel
S,12.347023902878576,11.559827369469074,5,1,Intelligence Artificielle
Technique,15.537891552191478,9.660699156348414,1,5,Management / SI
OSE,12.202555444230327,11.582269978694923,3,5,Management / SI
OSE,18.18224377464596,14.220895249579316,1,5,Réseaux & Systèmes
OSE,17.266022527329614,7.920454101766819,3,5,Management / SI
OSE,11.25310755456278,11.398909022440629,5,2,Génie Logiciel
OSE,14.914712852863065,8.89963755518248,1,4,Management / SI
Technique,13.936127848755444,14.585139886774527,4,4,Intelligence Artificielle
Technique,16.105894672597046,6.430439285648676,3,2,Génie Logiciel
Litteraire,9.105229618259687,9.323234458185235,4,3,Génie Logiciel
OSE,14.058154379995319,12.131635625193562,1,3,Génie Logiciel
Technique,15.175273460548762,15.696572087703021,4,5,Intelligence Artificielle
Litteraire,6.723781540730657,10.802749216781036,4,1,Génie Logiciel
OSE,8.450224462002675,9.334401419920404,1,3,Génie Logiciel
S,5.882303466719698,16.64347120832177,5,1,Génie Logiciel
Litteraire,11.191779496666326,6.655958298751268,4,4,Management / SI
Technique,14.152626767387886,4.403582130139754,4,1,Intelligence Artificielle
S,16.507071156288085,12.320043350159997,5,4,Intelligence Artificielle
S,12.222284341259325,9.493837326942167,4,2,Intelligence Artificielle
S,16.885846636713875,7.93630154860786,4,2,Intelligence Artificielle
Litteraire,7.859695625355326,13.12506934189806,4,5,Management / SI
Technique,6.889852681934536,11.731402141313596,2,3,Génie Logiciel
S,11.833356903310143,9.307764107789815,5,5,Management / SI
OSE,13.152196346817922,7.159086803987317,4,4,Intelligence Artificielle
S,11.90191575571772,13.617371984840434,5,5,Management / SI
S,5.79767369988037,12.950603533875983,3,1,Génie Logiciel
Litteraire,11.732639881461635,10.702472408661851,3,4,Management / SI
Litteraire,8.08659149848544,16.539910988143,4,2,Génie Logiciel
Technique,14.009017646490115,7.789745701021542,5,3,Intelligence Artificielle
OSE,13.099794738290544,6.423424487225784,5,4,Intelligence Artificielle
Litteraire,9.180360641017934,8.924275790356267,5,4,Management / SI
S,10.45839924798992,10.863241950933507,2,1,Génie Logiciel
Technique,8.822359434333144,11.730018347968075,3,3,Génie Logiciel
S,11.811962708180484,10.27629182643101,5,2,Génie Logiciel
S,14.865426961503715,12.05616618954289,5,4,Intelligence Artificielle
Litteraire,9.042821860993369,7.245381727428668,2,4,Management / SI
Technique,13.512139546553533,15.331293812219778,2,1,Réseaux & Systèmes
OSE,10.409227144882678,10.753546464822293,5,5,Management / SI
OSE,9.621381503212968,14.351887494764384,1,2,Réseaux & Systèmes
Litteraire,11.678908920136326,12.028176039133113,5,3,Génie Logiciel
